Scenario,Model,Zone,RMSE,MAE,R2
SSP585,MLP,Bhutan,5.566884627451853,4.930971157209633,-0.7855753777455652
SSP585,MLP,Myanmar,6.423465776628371,5.793241232392217,-0.45402302901957015
SSP585,MLP,Nepal,4.704317594842564,3.263771991783963,-0.8365650064503887
SSP585,MLP,Pakistan,5.815880797206866,5.726397761228749,-31.671847023429315
SSP585,MLP,Sri Lanka,5.708227336272722,4.163826889879852,-0.9235191267795331
SSP585,MLP,Zone 1,7.623418032708572,7.480911019536847,-25.794574413464446
SSP585,MLP,Zone 10,8.467611148816118,8.06643415847348,-9.603076930091223
SSP585,MLP,Zone 11,3.4541682259218907,2.730589974435236,-0.6611978568260577
SSP585,MLP,Zone 12,12.019213680081277,7.5161583887276455,-0.4726194634110985
SSP585,MLP,Zone 13,8.197342301979244,7.596715440559216,-2.974567406324706
SSP585,MLP,Zone 14,6.248640923164687,5.770726699460913,-5.70029255226545
SSP585,MLP,Zone 15,8.94682989783024,7.9804503251939805,-0.20078887446659843
SSP585,MLP,Zone 2,6.219008741477458,4.8033995561423115,-0.5576474398029683
SSP585,MLP,Zone 3,6.4407632930875565,5.772555471733693,-0.6995121035666052
SSP585,MLP,Zone 4,4.909535166091892,3.26534109607428,-0.6859934246321653
SSP585,MLP,Zone 5,9.119301688398746,8.150786036867803,-3.8784960751581092
SSP585,MLP,Zone 6,7.982380903220801,7.499866030702658,-7.4376571772273365
SSP585,MLP,Zone 7,5.37413243874537,5.048872436344536,-0.39028732688652523
SSP585,MLP,Zone 8,9.065132031223682,8.267846159621369,-2.42229364410512
SSP585,MLP,Zone 9,5.377208615350712,3.5380111817146833,-0.7157348590985777
SSP585,BayesianRidge,Afghanistan,0.4683463760630892,0.373770671208975,0.5579579564476036
SSP585,BayesianRidge,Bangladesh,3.535058010927075,2.6156111799782726,0.7545388502797657
SSP585,BayesianRidge,Bhutan,2.8312216011017712,1.9923425176907619,0.5381494412378545
SSP585,BayesianRidge,Myanmar,2.025846001212202,1.4618272227332885,0.8553743536765432
SSP585,BayesianRidge,Nepal,1.1286503838873432,0.9600031704232729,0.8942861463694673
SSP585,BayesianRidge,Pakistan,0.7912852556905917,0.6073889570150373,0.39520409686326063
SSP585,BayesianRidge,Sri Lanka,3.9603794701820316,3.624075310218402,0.07409252941494027
SSP585,BayesianRidge,Zone 1,1.2374832035732486,0.9875763882377756,0.29396534404348684
SSP585,BayesianRidge,Zone 10,1.9783010177094111,1.7720337151561019,0.4212448759051378
SSP585,BayesianRidge,Zone 11,1.5509689721189608,1.4634523794659204,0.6650803631544011
SSP585,BayesianRidge,Zone 12,7.699535163561432,5.687222026592534,0.3956793463757088
SSP585,BayesianRidge,Zone 13,3.175551939583637,2.1662374697995075,0.4035388430896527
SSP585,BayesianRidge,Zone 14,1.9607857537978064,1.3685571539240773,0.3402446603950986
SSP585,BayesianRidge,Zone 15,5.220461427056263,3.9483461843332037,0.5911668744642145
SSP585,BayesianRidge,Zone 2,2.4395373094806314,1.7355207736899698,0.760314500978453
SSP585,BayesianRidge,Zone 3,2.358192449760018,1.941799739384222,0.7721714878778423
SSP585,BayesianRidge,Zone 4,1.211254649108045,1.0388420808128325,0.8973766847970311
SSP585,BayesianRidge,Zone 5,2.0712820481630376,1.135866614380548,0.7483243057250382
SSP585,BayesianRidge,Zone 6,1.8767615675555573,1.5441418396312123,0.5335821276828598
SSP585,BayesianRidge,Zone 7,1.3033915630546962,0.8559591657278193,0.9182217815523321
SSP585,BayesianRidge,Zone 8,2.809024081984687,1.5061615751614819,0.6713906412665844
SSP585,BayesianRidge,Zone 9,2.9495354476196107,1.986299278416911,0.48376951988902084
SSP585,LightGBM,Afghanistan,0.5044144757861092,0.31269599897448314,0.48725157760300253
SSP585,LightGBM,Bangladesh,2.202200640463796,1.5555157820854475,0.9047415647793738
SSP585,LightGBM,Bhutan,1.8527086349045774,1.475759930036441,0.8022265459709066
SSP585,LightGBM,Myanmar,1.6219113497940572,1.0214565542938574,0.9072985170510338
