Scenario,Model,Zone,RMSE,MAE,R2
SSP245,GradientBoosting,Zone 14,2.108811080802413,1.7993009850646977,0.8925546648953897
SSP245,GradientBoosting,Zone 15,0.33367862591555447,0.23574151863134052,0.6115255181907276
SSP245,GradientBoosting,Zone 2,1.139119842660608,0.8548085348166926,0.9351523951452563
SSP245,GradientBoosting,Zone 3,1.13138906649136,0.8269947319081314,0.9244957196091859
SSP245,GradientBoosting,Zone 4,1.6394400038977013,1.399384480435584,0.9142265674900599
SSP245,GradientBoosting,Zone 5,1.6357046776611395,1.3488719615140743,0.934530275067135
SSP245,GradientBoosting,Zone 6,2.2085391093889313,1.5777943955948495,0.9032489047016908
SSP245,GradientBoosting,Zone 7,1.1962704969227247,0.9999119926272249,0.9286981482504015
SSP245,GradientBoosting,Zone 8,1.5490551103071102,1.2411106629089,0.9285530259678483
SSP245,GradientBoosting,Zone 9,1.2288132240653702,1.0229058113077008,0.8967808005384332
SSP245,SVR,Afghanistan,9.23673776010226,8.2001281281606,0.0011012304619026914
SSP245,SVR,Bangladesh,4.030914896694129,2.9183209340688756,-0.1890055852013519
SSP245,SVR,Bhutan,4.68025855537118,3.7517212008266454,-0.028756241421792117
SSP245,SVR,Myanmar,2.6653152046091857,1.8603453486515464,-0.19860144821657477
SSP245,SVR,Nepal,6.397765647935699,5.473577270535806,-0.026254821994827537
SSP245,SVR,Pakistan,7.027407322530834,5.863022422133312,-0.057387381671097026
SSP245,SVR,Sri Lanka,0.8953522585912363,0.6757115937241881,-0.46789952969664106
SSP245,SVR,Zone 1,8.741862530895254,7.845869170869379,-0.0018038855628861317
SSP245,SVR,Zone 10,2.3795383535632406,1.9854798447969142,-0.007572734097388789
SSP245,SVR,Zone 11,2.5354438080103887,2.0742548560597434,-0.09133261827991723
SSP245,SVR,Zone 12,1.2502582699200242,1.0032242252955363,-0.00636339560401189
SSP245,SVR,Zone 13,3.93516573966227,2.9508059542689016,-0.037947228245009956
SSP245,SVR,Zone 14,6.9416813257159395,5.248252089373473,-0.1642374357662102
SSP245,SVR,Zone 15,0.5353305213992317,0.4145918519249803,0.00011574604855546511
SSP245,SVR,Zone 2,4.561839316215941,3.623970711327288,-0.04000415338102048
SSP245,SVR,Zone 3,4.522715037580554,3.3487457914185317,-0.20655206669681192
