polygon,month,slope
Myanmar,10,0.022428822341441973
Nepal,10,0.013988829570979931
Pakistan,10,0.002497263422783655
Bhutan,10,0.037757219933299106
Bangladesh,10,0.037119928299699144
Zone 7,10,0.03398825068883351
Zone 13,10,-0.001282112155587031
Zone 14,10,-0.000344795244612528
Zone 6,10,-0.0013948215749675608
Zone 15,10,0.05276060462912246
Zone 5,10,0.005927113296215997
Zone 8,10,0.0013564683248482058
Zone 9,10,-0.00014862210919716273
Zone 10,10,0.04073920604132653
Zone 12,10,0.09985061926501829
Zone 11,10,0.0708681509288149
Zone 4,10,0.02300569058222819
Zone 3,10,0.0580646195410707
Zone 2,10,0.009260741411884665
Zone 1,10,0.00048012896559586777
Sri Lanka,11,0.10226421975226327
Afghanistan,11,0.010338087583375266
Myanmar,11,-0.031086754200844193
Nepal,11,-0.0027386005589824366
Pakistan,11,0.0006878392980473776
Bhutan,11,-0.0014328575992089243
Bangladesh,11,-0.011280522070834152
Zone 7,11,-0.0003402542560075001
Zone 13,11,-0.0004025420905712555
Zone 14,11,-0.0002588786657758757
Zone 6,11,-0.002137135708837662
Zone 15,11,-0.05693788276453809
Zone 5,11,-0.0007524389818068289
Zone 8,11,0.0007376104034628113
Zone 9,11,0.009997173851950493
Zone 10,11,0.030926197852853103
Zone 12,11,0.07019930858928775
Zone 11,11,0.036726955066052995
Zone 4,11,-0.001317024131990433
Zone 3,11,-0.008031058446812529
Zone 2,11,-0.005725470846580719
Zone 1,11,-0.001404503843761497
Sri Lanka,12,0.11291334465405246
Afghanistan,12,-0.0037956596394612247
Myanmar,12,3.521170396996237e-05
Nepal,12,-0.009224016561915536
Pakistan,12,-0.0038951613889348703
Bhutan,12,-0.004082482178788941
Bangladesh,12,-0.005061207446402698
Zone 7,12,-0.0011380816432786758
Zone 13,12,-8.560969508973612e-05
Zone 14,12,-0.00012321283441002118
Zone 6,12,-0.005567146176839553
Zone 15,12,0.031898171714483975
Zone 5,12,-0.004949070416128778
Zone 8,12,-0.002511112638899147
Zone 9,12,-0.00195653469404969
Zone 10,12,8.282359028364003e-05
Zone 12,12,0.0017006030992736901
Zone 11,12,0.005342297417465914
Zone 4,12,-0.0022703280953525386
Zone 3,12,-0.0014987931021740192
Zone 2,12,-0.005464023280248472
Zone 1,12,-0.010662008217869882
