polygon,month,slope
Zone 10,8,0.009432032807666652
Zone 12,8,0.020241973391579654
Zone 11,8,0.01046204425664916
Zone 4,8,0.00395255562385865
Zone 3,8,0.01134429730854424
Zone 2,8,0.02314728566861311
Zone 1,8,0.030431604784891226
Sri Lanka,9,0.01933127382354807
Afghanistan,9,0.05805401286752982
Myanmar,9,0.023639294718617407
Nepal,9,0.020346068939244757
Pakistan,9,0.025509373897376775
Bhutan,9,0.02118377948612346
Bangladesh,9,0.013565358749633046
Zone 7,9,8.263161935762392e-05
Zone 13,9,0.00786958361498096
Zone 14,9,0.005279332474795274
Zone 6,9,-0.004954286767450741
Zone 15,9,0.01952752386863461
Zone 5,9,-0.007519861721491261
Zone 8,9,-0.004719464351560515
Zone 9,9,-0.00504266853469978
Zone 10,9,0.0008272372125705545
Zone 12,9,0.018450797102374638
Zone 11,9,0.003030369480286516
Zone 4,9,-0.003993856961015416
Zone 3,9,0.004406691895024366
Zone 2,9,0.027078158878029585
Zone 1,9,0.038169860165756145
Sri Lanka,10,0.01985686716721766
Afghanistan,10,0.05788333627503206
Myanmar,10,0.019133980834115726
Nepal,10,0.024974927915344478
Pakistan,10,0.03801905394789642
Bhutan,10,0.032295021542789355
Bangladesh,10,0.02118494156659302
Zone 7,10,0.010109744061791784
Zone 13,10,0.0008863202140219088
Zone 14,10,0.013166450621494408
Zone 6,10,0.00825255465976612
Zone 15,10,0.019431712154504566
Zone 5,10,-0.0020399214378886425
Zone 8,10,-0.005524285529017777
Zone 9,10,-0.0157635434756992
Zone 10,10,-4.295333312317635e-05
Zone 12,10,0.008676858378356793
Zone 11,10,0.010234628722334141
Zone 4,10,0.007445931679671299
Zone 3,10,0.011273372903873658
Zone 2,10,0.03022153746533973
Zone 1,10,0.05727556756334585
Sri Lanka,11,0.022352893971017862
Afghanistan,11,0.03417538617500319
Myanmar,11,0.017612641147307588
Nepal,11,0.022596769254480228
Pakistan,11,0.02345803931420872
Bhutan,11,0.03428114580441283
Bangladesh,11,0.014200604784651127
Zone 7,11,0.0030354051178919828
Zone 13,11,-0.0007225622742303225
Zone 14,11,0.00035244045051315947
Zone 6,11,-0.0023451076472016164
Zone 15,11,0.018313507599968245
Zone 5,11,-0.006147022331931913
Zone 8,11,-0.009810534288822238
Zone 9,11,-0.00559270017857273
Zone 10,11,0.014286146234370545
Zone 12,11,0.019219658088004736
Zone 11,11,0.018031211481890196
Zone 4,11,-0.004814941823641327
Zone 3,11,0.00419019488645574
Zone 2,11,0.024840856363092415
Zone 1,11,0.028740171907496597
Sri Lanka,12,0.020827754944637736
Afghanistan,12,0.05731945558180937
Myanmar,12,0.01828324958587235
Nepal,12,0.043702043197082104
Pakistan,12,0.03812433756419328
Bhutan,12,0.054027379541052904
Bangladesh,12,0.020538242859004744
Zone 7,12,0.020101222558373162
Zone 13,12,0.023882345956309198
Zone 14,12,0.028031310688770152
Zone 6,12,0.03282606660167714
Zone 15,12,0.015178850937164198
Zone 5,12,0.022493156797821438
Zone 8,12,0.022672045872288674
Zone 9,12,0.020116799124748657
Zone 10,12,0.020640855545317027
Zone 12,12,0.02623515483406646
Zone 11,12,0.024170339215955516
Zone 4,12,0.013734015913938028
Zone 3,12,0.01717325558143942
Zone 2,12,0.03351191311500982
Zone 1,12,0.05320093807764804
